City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Fairbanks,US,2022-10-12 04:13:01,64.8378,-147.7164,272.15,80,100,2.06
217,Podgornoye,RU,2022-10-12 04:15:40,51.735,39.1496,279.27,87,75,6.0
218,Ures,MX,2022-10-12 04:15:41,29.4333,-110.4,297.95,44,0,1.5
219,Port Hardy,CA,2022-10-12 04:15:41,50.6996,-127.4199,282.25,81,20,2.06
220,Dali,CN,2022-10-12 04:15:08,25.7,100.1833,289.48,90,100,1.62
221,Khash,IR,2022-10-12 04:15:42,28.2211,61.2158,292.89,10,0,1.52
222,Birin,NP,2022-10-12 04:15:43,26.8865,88.0718,291.38,88,81,1.37
223,Merced,US,2022-10-12 04:15:35,37.1666,-120.7516,297.2,52,0,3.63
224,Shuangcheng,CN,2022-10-12 04:16:44,45.35,126.2833,288.97,39,100,5.95
225,Orange Walk,BZ,2022-10-12 04:16:44,17.8333,-88.8333,297.3,99,99,1.23
226,Mount Gambier,AU,2022-10-12 04:14:05,-37.8333,140.7667,286.27,97,100,3.78
227,Luba,GQ,2022-10-12 04:16:45,3.4568,8.5547,297.09,81,100,0.53
228,Clyde River,CA,2022-10-12 04:16:45,70.4692,-68.5914,267.28,79,100,5.66
229,Miyako,JP,2022-10-12 04:16:46,39.6367,141.9525,290.94,56,93,2.17
230,Valdivia,CL,2022-10-12 04:12:15,-39.8142,-73.2459,283.2,100,95,1.01
231,Thompson,CA,2022-10-12 04:16:47,55.7435,-97.8558,277.24,93,100,9.77
232,Almaty,KZ,2022-10-12 04:15:34,43.25,76.95,283.1,40,0,1.0
233,Margate,GB,2022-10-12 04:16:48,51.3813,1.3862,282.76,76,100,3.0
234,Vardo,NO,2022-10-12 04:16:48,70.3705,31.1107,280.14,93,100,3.6
235,Ostrovnoy,RU,2022-10-12 04:16:49,68.0531,39.5131,279.54,86,100,8.94
236,Smithers,CA,2022-10-12 04:16:49,54.7804,-127.1743,279.33,87,0,2.06
237,Pinas,EC,2022-10-12 04:16:50,-3.6667,-79.65,291.66,85,22,0.87
238,Umm Lajj,SA,2022-10-12 04:16:51,25.0213,37.2685,300.72,48,0,3.84
239,Sao Gabriel Da Cachoeira,BR,2022-10-12 04:16:51,-0.1303,-67.0892,295.36,98,68,0.68
240,Kandrian,PG,2022-10-12 04:16:52,-6.2167,149.55,303.17,60,77,4.89
241,Tazovskiy,RU,2022-10-12 04:16:52,67.4667,78.7,275.43,90,100,7.12
242,Atambua,ID,2022-10-12 04:16:53,-9.1061,124.8925,302.87,57,99,2.46
243,Santa Marta,CO,2022-10-12 04:15:16,11.2408,-74.199,301.98,72,97,2.24
244,Codrington,AU,2022-10-12 04:16:54,-38.2667,141.9667,291.26,73,100,5.87
245,Coahuayana,MX,2022-10-12 04:16:54,18.7333,-103.6833,299.45,91,100,1.05
246,Koslan,RU,2022-10-12 04:16:55,63.4564,48.8989,276.28,96,68,2.58
247,Chara,RU,2022-10-12 04:16:55,56.9064,118.2631,276.26,91,100,2.31
248,Vila Franca Do Campo,PT,2022-10-12 04:16:56,37.7167,-25.4333,294.37,86,9,0.32
249,Tigil,RU,2022-10-12 04:16:56,57.8,158.6667,278.96,77,100,6.28
250,Tecpan,GT,2022-10-12 04:16:57,14.7623,-90.9947,286.42,95,100,1.16
251,Constitucion,CL,2022-10-12 04:16:58,-35.3333,-72.4167,283.0,84,0,4.45
252,Bathsheba,BB,2022-10-12 04:16:58,13.2167,-59.5167,301.49,83,20,8.75
253,Osa,RU,2022-10-12 04:16:59,57.2829,55.4567,282.04,82,100,2.89
254,Saint-Augustin,CA,2022-10-12 04:16:59,51.226,-58.6502,275.4,70,71,5.71
255,Kurilsk,RU,2022-10-12 04:17:00,45.2333,147.8833,283.9,78,94,7.71
