City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Marrakesh,MA,31.6315,-8.0083,68.07,64,40,5.75,scattered clouds
206,Dwarka,IN,22.2394,68.9678,83.03,55,46,10.02,scattered clouds
207,Benton Harbor,US,42.1167,-86.4542,53.11,58,0,12.66,clear sky
208,Mahebourg,MU,-20.4081,57.7,71.89,73,40,8.05,scattered clouds
209,Magaria,NE,12.9983,8.9099,76.78,22,95,4.05,overcast clouds
210,Neuquen,AR,-38.9516,-68.0591,60.69,33,0,2.3,clear sky
211,Ossipee,US,43.6854,-71.1167,53.24,90,0,2.01,clear sky
212,Rundu,NA,-17.9333,19.7667,67.78,54,98,5.99,overcast clouds
213,Hamilton,US,39.1834,-84.5333,52.77,64,0,4.61,clear sky
214,Huancabamba,PE,-5.2386,-79.4506,59.36,91,100,6.02,overcast clouds
215,Santa Cruz,BO,-17.8,-63.1667,76.46,69,75,3.44,broken clouds
216,Plettenberg Bay,ZA,-34.0527,23.3716,62.85,80,100,7.96,overcast clouds
217,Pirai Do Sul,BR,-24.5261,-49.9486,58.15,96,98,6.96,overcast clouds
218,Jaisalmer,IN,26.9147,70.9181,84.0,14,0,2.57,clear sky
219,Santiago Del Estero,AR,-27.7951,-64.2615,60.03,66,0,7.52,clear sky
220,Saint George,US,37.1041,-113.5841,74.95,35,0,10.36,clear sky
221,Peniche,PT,39.3558,-9.3811,63.28,94,88,9.06,overcast clouds
222,Mormugao,IN,15.4,73.8,79.79,80,90,7.09,overcast clouds
223,Bara,NG,10.3744,10.7288,70.84,89,9,5.5,clear sky
224,Natitingou,BJ,10.3042,1.3796,69.39,93,37,3.11,scattered clouds
225,Umm Kaddadah,SD,13.6017,26.6876,80.4,22,5,14.41,clear sky
226,Tarifa,ES,36.0139,-5.607,66.22,61,53,6.24,broken clouds
227,Zholymbet,KZ,51.7433,71.7122,46.29,61,99,7.27,overcast clouds
228,Ergani,TR,38.2653,39.7621,56.82,76,70,4.07,broken clouds
229,Nyuksenitsa,RU,60.4128,44.2397,41.9,88,100,5.91,overcast clouds
230,Cockburn Town,TC,21.4612,-71.1419,81.91,75,94,10.47,overcast clouds
231,Virginia Beach,US,36.8529,-75.978,66.02,67,0,9.22,clear sky
232,Kolyvan,RU,55.3053,82.7391,35.22,68,100,3.83,overcast clouds
233,Sandwick,GB,60.0,-1.25,46.22,81,20,0.0,light rain
234,Turukhansk,RU,65.8167,87.9833,30.92,78,94,11.56,overcast clouds
235,Velenje,SI,46.3592,15.1103,52.38,98,28,3.24,scattered clouds
236,Vargashi,RU,55.3556,65.8467,42.57,91,84,4.47,broken clouds
237,Dingle,PH,10.9995,122.6711,80.83,83,100,10.54,overcast clouds
238,Lere,NG,10.387,8.5726,65.95,46,63,1.7,broken clouds
239,Enschede,NL,52.2183,6.8958,55.71,90,85,8.01,overcast clouds
240,Bereda,ES,43.2686,-7.5406,55.96,92,88,4.72,overcast clouds
241,Elmina,GH,5.0898,-1.348,75.99,90,99,8.25,light rain
242,Fontaine,FR,45.1984,5.6827,60.04,90,2,3.65,clear sky
243,Yar-Sale,RU,66.8333,70.8333,37.96,88,100,4.7,overcast clouds
244,Puerto Ayora,EC,-0.7393,-90.3518,66.54,90,82,8.01,broken clouds
245,La Palma,US,33.8464,-118.0467,68.81,85,75,8.05,broken clouds
246,Manati,PR,18.4275,-66.4921,78.71,96,71,6.42,broken clouds
247,Rawson,AR,-43.3002,-65.1023,49.39,84,92,16.73,overcast clouds
248,Tanout,NE,14.9709,8.8879,79.5,16,12,8.86,few clouds
249,Ipixuna,BR,-1.7625,-48.8043,74.12,95,99,3.38,overcast clouds
250,Taltal,CL,-25.4,-70.4833,59.05,79,9,3.67,clear sky
251,Cap-Aux-Meules,CA,47.3821,-61.8597,53.4,92,100,16.24,overcast clouds
252,Abu Dhabi,AE,24.4667,54.3667,80.62,78,0,2.3,clear sky
253,Georgetown,MY,5.4112,100.3354,76.95,96,40,3.44,scattered clouds
254,Richards Bay,ZA,-28.783,32.0377,65.71,78,80,3.27,broken clouds
255,Longonjo,AO,-12.9067,15.2533,62.51,90,98,1.19,overcast clouds
256,Calvia,ES,39.5657,2.5062,68.92,79,19,6.26,few clouds
257,Antofagasta,CL,-23.65,-70.4,58.28,67,37,2.95,scattered clouds
258,Araouane,ML,18.9048,-3.5265,87.04,16,68,3.06,broken clouds
259,Hualmay,PE,-11.0964,-77.6139,62.04,82,70,8.46,broken clouds
260,Veraval,IN,20.9,70.3667,80.56,45,19,9.78,few clouds
261,Sabla,NG,12.7525,4.7077,78.08,59,89,5.55,overcast clouds
262,Uige,AO,-7.6087,15.0613,64.31,98,83,2.08,broken clouds
263,Borovskoy,KZ,53.8,64.15,41.36,83,72,8.21,broken clouds
264,Granger,US,41.7481,-86.1257,52.39,79,75,4.61,broken clouds
265,Khor,RU,47.8861,134.9464,53.04,48,98,11.97,overcast clouds
266,Sergeyevka,KZ,53.88,67.4158,41.63,69,18,6.89,few clouds
267,Manaure,CO,11.7751,-72.4445,81.91,79,88,15.37,overcast clouds
268,Birur,IN,13.6167,75.9667,73.42,84,97,2.95,overcast clouds
269,Taldom,RU,56.7333,37.5333,36.82,91,19,5.7,few clouds
270,Sal Rei,CV,16.1833,-22.9167,75.51,73,38,8.21,scattered clouds
271,Villanueva De Cordoba,ES,38.3228,-4.6287,57.99,69,41,3.85,scattered clouds
272,Santa Rosa Del Sur,CO,7.9644,-74.0544,69.1,95,93,2.91,overcast clouds
273,Timra,SE,62.487,17.3257,33.48,93,100,3.44,overcast clouds
274,Rock Sound,BS,24.9,-76.2,82.08,75,9,17.4,clear sky
275,Dalmau,IN,26.0667,81.0333,77.05,57,0,3.4,clear sky
276,Ponce,PR,18.073,-66.6185,76.6,88,81,3.22,broken clouds
277,Salym,RU,60.0625,71.4789,42.73,93,100,3.85,light rain
278,Kattivakkam,IN,13.2167,80.3167,84.29,73,36,3.36,scattered clouds
279,Iquitos,PE,-3.7481,-73.2472,77.04,88,75,3.44,broken clouds
280,Aurad,IN,18.25,77.4333,73.74,89,100,9.55,overcast clouds
281,Ullapool,GB,57.8987,-5.1604,43.36,88,96,6.73,overcast clouds
282,Kingston,JM,17.997,-76.7936,76.24,93,98,1.01,overcast clouds
283,Jurm,AF,36.8648,70.8342,60.46,13,0,1.52,clear sky
284,Bengkulu,ID,-3.8004,102.2655,81.93,69,82,3.42,broken clouds
285,Presidente Bernardes,BR,-22.0061,-51.5531,68.7,73,84,14.7,broken clouds
286,Barranca,PE,-10.75,-77.7667,60.48,85,94,7.11,overcast clouds
287,Oktyabrskoye,RU,43.0645,44.7417,51.94,93,100,2.24,drizzle
288,Bonfim,BR,3.0833,-59.95,78.91,75,82,4.34,broken clouds
289,Qobustan,AZ,40.0824,49.412,63.77,77,100,22.86,overcast clouds
290,Camopi,GF,3.1655,-52.3158,70.81,99,26,1.88,scattered clouds
291,Talcahuano,CL,-36.7167,-73.1167,53.28,82,0,12.66,clear sky
